R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,R,I,A,S,E,C,cluster
3,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,4,5,2,3,5,4,4,4,3,4,1,5,5,3,5,3,4,5,3,3,2,1,1,1,3,2,1,1,2,5,5,1,3,2,5,4,4,5,6,0,6,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,2,15,1,10,3,1,2,1,5,accounting,14,8,31,29,20,20,35
5,3,2,3,2,2,1,3,4,3,4,2,2,3,1,4,3,3,5,4,3,3,4,3,4,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,3,2,6,5,7,2,4,3,7,2,3,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,3,1,2,22,1,12,1,1,2,1,1,accounting,21,23,28,28,23,20,35
3,3,1,3,2,2,3,2,3,2,2,3,2,2,3,2,4,3,5,5,3,5,4,5,4,4,4,4,4,4,4,5,3,4,4,3,5,5,3,5,4,3,4,3,3,3,3,4,3,3,4,5,6,4,6,4,3,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,3,2,2,15,1,4,0,1,2,1,1,accounting,19,19,34,33,32,27,35
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,5,1,3,5,4,2,4,4,5,5,2,5,4,4,4,1,3,4,1,4,2,1,1,4,1,2,3,3,3,3,1,1,1,4,2,6,6,7,5,6,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,2,1,2,26,1,2,3,1,2,1,3,accounting,8,10,29,33,17,20,35
3,1,1,2,1,3,1,3,3,5,4,2,1,2,1,2,5,4,4,2,4,5,3,3,4,4,3,2,3,5,4,3,3,4,5,3,4,5,5,1,5,2,4,4,4,2,5,4,5,5,6,5,7,5,5,3,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,2,18,1,10,4,1,2,1,10,accounting,15,20,30,28,30,30,35
3,3,2,2,1,3,2,3,1,3,1,3,1,2,1,3,4,4,1,4,2,5,5,4,5,5,3,5,4,3,4,4,5,1,2,2,3,4,5,3,2,3,4,2,2,2,2,3,6,5,7,4,7,3,5,5,6,4,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1,23,1,3,5,5,2,1,4,accounting,19,15,29,33,25,20,35
4,1,1,2,1,2,2,1,2,2,2,1,2,3,2,4,5,4,4,5,4,3,4,4,5,4,3,4,5,3,4,4,5,4,4,2,4,4,4,4,3,4,4,5,3,2,4,4,6,6,6,3,5,4,5,4,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,3,1,2,21,1,0,0,1,2,1,0,accounting,14,18,33,32,31,29,35
3,2,1,1,1,1,1,2,2,4,3,2,2,2,2,2,2,4,2,2,4,3,4,4,4,2,2,3,4,2,3,2,4,2,4,2,4,4,4,4,3,3,3,2,4,4,2,4,5,3,2,5,7,4,6,6,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,2,24,1,10,1,1,1,1,2,accounting,12,19,25,22,28,25,35
5,1,1,1,1,1,1,1,5,3,5,1,1,1,1,1,5,3,1,1,1,1,3,1,3,5,5,3,5,3,3,5,5,3,5,3,3,5,3,5,3,1,5,1,3,1,3,1,3,4,4,3,7,3,3,6,7,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,18,1,4,5,1,2,1,2,accounting,12,18,16,32,32,18,35
3,3,1,3,3,1,5,3,3,1,3,3,1,1,3,1,1,3,5,3,3,5,3,5,3,3,3,3,3,5,5,5,5,3,5,3,5,5,5,3,3,3,3,3,3,3,5,3,5,2,6,3,5,5,4,5,5,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,16,1,4,1,1,2,1,5,accounting,22,16,28,30,34,26,35
